case_id,method,buffering_rate,avg_quality
1,proposed,0.013306451612903225,2.2089728609337853
1,most_chunk,0.00020161290322580645,1.0
1,highest_quality_chunk,0.03528225806451614,1.53160661586869
2,proposed,0.022379032258064514,2.5429252510663694
2,most_chunk,0.0008064516129032258,1.0
2,highest_quality_chunk,0.03266129032258064,1.9481143678797674
3,proposed,0.0594758064516129,2.81117430889598
3,most_chunk,0.0020161290322580645,1.0
3,highest_quality_chunk,0.04112903225806451,2.3751826501001307
