case_id,mode,buffering_rate,avg_quality
1,proposed,0.00625,2.1725175943952793
1,nearest,0.00026881720430107527,1.5152503658547376
1,highest_quality,0.017204301075268817,2.348890379100842
2,proposed,0.036491935483870974,2.616617024921839
2,nearest,0.001344086021505376,1.8843480834858433
2,highest_quality,0.04522849462365592,2.832068092149088
3,proposed,0.06303763440860216,2.8650560007779413
3,nearest,0.004771505376344086,2.3090762425232088
3,highest_quality,0.04287634408602149,2.9787651644613224
