snr_db,mode,buffering_rate,avg_quality
15.0,proposed,0.17661290322580644,2.144572861955929
15.0,nearest,0.0038978494623655917,1.4947548243103965
15.0,highest_quality,0.16599462365591397,2.303126218018795
20.0,proposed,0.053561827956989244,2.177645304522734
20.0,nearest,0.001344086021505376,1.484139385348113
20.0,highest_quality,0.0657258064516129,2.2897790012236667
25.0,proposed,0.01686827956989247,2.157764265157547
25.0,nearest,0.0006720430107526881,1.506825486814454
25.0,highest_quality,0.03272849462365592,2.282702690142085
30.0,proposed,0.01081989247311828,2.24441322310515
30.0,nearest,0.0004704301075268817,1.5178410165220595
30.0,highest_quality,0.022580645161290325,2.4277253307182383
