episode,avg_qoe_per_user_slot,stall_ratio,stall_events_per_user_slot,scheduled_ratio,service_rate,chunks_per_user_slot,quality_utility_per_chunk,degradation_per_chunk,avg_quality_level_per_chunk,switch_user_slot_rate,avg_playback_queue,large_Q_exceed_rate,max_playback_queue,policy_loss,value_loss,entropy,approx_kl,clipfrac,grad_norm,explained_variance_preupdate,elapsed_sec
0,0.8188208333333346,0.020416666666666666,0.005833333333333334,0.7041666666666667,0.45208333333333334,1.2575,0.7570145791915184,0.24298542080848257,2.3313452617627566,0.3329166666666667,43.428333333333335,0.09458333333333334,151.0,0.0015018640784546732,553.1893821716309,6.8674027681350704,0.0007672627456486225,0.0,32.05949339866638,0.000689387321472168,1.783015489578247
1,0.8919305555555564,0.007916666666666667,0.005416666666666667,0.7,0.4791666666666667,1.32375,0.7611898016997167,0.23881019830028327,2.356940509915014,0.35375,47.009166666666665,0.08083333333333333,149.0,0.00558647233992815,640.6677047729493,6.946659576892853,0.00029062544635962697,0.0,50.67442770004273,0.0023550987243652344,3.243603229522705
2,0.9076625000000004,0.00875,0.002916666666666667,0.7083333333333334,0.4766666666666667,1.32375,0.7741233868429338,0.22587661315706653,2.4422411079634876,0.3625,52.53375,0.11291666666666667,175.0,-0.008825065870769321,638.3757125854493,7.093772375583649,0.00034792971273418517,0.0,74.25169954299926,0.0016213059425354004,4.458119630813599
3,0.9919291666666671,0.005,0.0008333333333333334,0.7291666666666666,0.5179166666666667,1.43625,0.7714331302581958,0.22856686974180457,2.4223962866260518,0.38208333333333333,68.43083333333334,0.20625,230.0,-0.00866783345118165,733.6702285766602,7.400684726238251,0.00023681412785663268,0.0,101.83086166381835,0.002546072006225586,5.618870973587036
4,0.8756694444444444,0.008333333333333333,0.0020833333333333333,0.7,0.47541666666666665,1.31125,0.7575278042580238,0.2424721957419764,2.3339688592310135,0.3620833333333333,53.54875,0.10375,134.0,-0.004324204148724675,580.0116401672364,6.8549115538597105,0.0002534500610636314,0.0,101.70998725891113,0.014833390712738037,6.787811756134033
5,0.8886833333333332,0.009583333333333333,0.00375,0.6916666666666667,0.47125,1.2970833333333334,0.772515258592997,0.22748474140700295,2.429489238676518,0.3491666666666667,51.90291666666667,0.08208333333333333,135.0,0.015900819399394094,588.1057807922364,7.000586569309235,0.00010428183595649898,0.0,111.02414131164551,0.019224166870117188,7.958749532699585
6,0.9173152777777777,0.006666666666666667,0.0025,0.6875,0.48875,1.34125,0.7635570052811435,0.23644299471885685,2.3684374029201614,0.34875,56.170833333333334,0.18083333333333335,182.0,-0.003678208275232464,600.796711730957,7.044208896160126,-0.00021183652279432863,0.0,120.79768657684326,0.001002967357635498,9.130936861038208
7,0.9305930555555557,0.004166666666666667,0.0016666666666666668,0.7083333333333334,0.49541666666666667,1.3666666666666667,0.7658810975609756,0.23411890243902428,2.391158536585366,0.3829166666666667,65.74666666666667,0.17791666666666667,170.0,0.005916389171034098,606.5491989135742,7.070562958717346,-3.83317303203512e-05,0.0,125.52534675598145,0.00042498111724853516,10.273941040039062
8,0.9020597222222223,0.0075,0.0025,0.675,0.4716666666666667,1.305,0.7776532567049802,0.22234674329501916,2.4655172413793105,0.35625,54.83208333333334,0.16125,205.0,0.0003232802962884307,580.3296180725098,6.881547772884369,-6.216485016921069e-05,0.0,123.89811820983887,0.0008951425552368164,11.424942016601562
9,0.8789333333333336,0.016666666666666666,0.005833333333333334,0.7125,0.47541666666666665,1.3141666666666667,0.7653582752060862,0.2346417247939125,2.381737476220672,0.34458333333333335,53.903333333333336,0.11125,145.0,-0.0006954175420105458,527.37310256958,7.053701043128967,1.5444900782313198e-06,0.0,120.51086559295655,0.000731050968170166,12.55929446220398
10,0.879419444444445,0.004166666666666667,0.0016666666666666668,0.6708333333333333,0.4633333333333333,1.2879166666666666,0.7631640245875124,0.23683597541248785,2.3684891620834683,0.35333333333333333,45.84583333333333,0.07833333333333334,141.0,0.004769361868966371,530.0408325195312,6.861651825904846,0.00039274157024919986,0.0,117.90829505920411,0.03675001859664917,13.717136144638062
11,1.0016388888888887,0.0033333333333333335,0.0016666666666666668,0.75,0.5216666666666666,1.4404166666666667,0.7730980619033846,0.2269019380966158,2.4341914955163437,0.38708333333333333,70.39375,0.28833333333333333,197.0,-0.004896098515018821,677.9825775146485,7.27440699338913,0.000150973040581448,0.0,141.01962242126464,0.00021529197692871094,14.87962293624878
12,0.9883819444444442,0.00375,0.00125,0.7166666666666667,0.5133333333333333,1.4325,0.7671465968586385,0.23285340314136127,2.393542757417103,0.3854166666666667,61.0675,0.16625,182.0,0.00339445824502036,651.5592758178711,7.259992253780365,-0.0001881268177385209,0.0,137.7980640411377,0.00041854381561279297,16.038440704345703
13,0.8676444444444447,0.0175,0.00625,0.6791666666666667,0.4683333333333333,1.2945833333333334,0.7704151915030583,0.2295848084969425,2.4158352108142904,0.3491666666666667,49.74333333333333,0.12666666666666668,178.0,-0.0014474497176706791,498.69614868164064,6.749126660823822,0.00022105226562416647,0.0,117.78653240203857,0.014913558959960938,17.194717168807983
14,0.9682069444444449,0.006666666666666667,0.0016666666666666668,0.7041666666666667,0.5025,1.4041666666666666,0.7728575667655784,0.22714243323442135,2.434718100890208,0.37833333333333335,64.98583333333333,0.22583333333333333,230.0,-0.012868750700727105,629.2205474853515,6.94422755241394,-0.00014095966180320828,0.0,135.9252986907959,0.0002630949020385742,18.334205389022827
15,0.9172611111111115,0.00375,0.0016666666666666668,0.6916666666666667,0.4825,1.3333333333333333,0.7657062499999993,0.23429375,2.3840625,0.3545833333333333,51.91291666666667,0.06125,148.0,-0.01121172234416008,559.4889038085937,6.84066561460495,-2.2539527344633824e-05,0.0,126.66543331146241,0.00021886825561523438,19.514222145080566
16,0.9706944444444455,0.004583333333333333,0.00125,0.7041666666666667,0.50375,1.395,0.7741935483870961,0.22580645161290336,2.4408602150537635,0.37416666666666665,69.61166666666666,0.19541666666666666,228.0,0.004500540718436241,606.433317565918,7.026793074607849,0.00010926054601441137,0.0,134.19512214660645,0.000156402587890625,20.685373067855835
17,0.9527236111111118,0.007916666666666667,0.0020833333333333333,0.7166666666666667,0.5020833333333333,1.3925,0.7692609216038302,0.23073907839617006,2.4087372830640335,0.37333333333333335,66.49458333333334,0.23291666666666666,158.0,-0.009173873974941672,592.8611038208007,7.164257872104645,0.00016268662481024875,0.0,132.45890159606932,9.28044319152832e-05,21.864164352416992
18,0.8981944444444447,0.007083333333333333,0.00375,0.6875,0.47458333333333336,1.3025,0.7731925783749203,0.22680742162507975,2.432181701855406,0.34708333333333335,54.52625,0.10708333333333334,141.0,-0.006434109434485436,532.6665573120117,6.930486679077148,-0.0003708306365297176,0.0,119.67111206054688,0.03519392013549805,23.01308012008667
19,0.8967472222222233,0.009583333333333333,0.002916666666666667,0.6625,0.47291666666666665,1.3066666666666666,0.7730739795918367,0.22692602040816345,2.4333545918367347,0.3458333333333333,49.79833333333333,0.12833333333333333,169.0,-0.0018130689160898328,520.7352142333984,6.667782199382782,-6.960172086110106e-05,0.0,119.62985668182372,0.01073235273361206,24.182334899902344
20,0.9379750000000006,0.00125,0.0004166666666666667,0.675,0.49375,1.3608333333333333,0.7615248009797929,0.23847519902020842,2.355786895284752,0.36291666666666667,58.4125,0.13833333333333334,153.0,-0.0020941901486366985,571.0084808349609,6.970632767677307,-6.493494220194407e-06,0.0,126.2324254989624,0.047177910804748535,25.325806856155396
21,0.9293083333333342,0.006666666666666667,0.002916666666666667,0.6791666666666667,0.48791666666666667,1.3466666666666667,0.7717636138613858,0.22823638613861374,2.421720297029703,0.36375,54.897083333333335,0.15041666666666667,158.0,-0.003451957670040429,565.9720314025878,6.8947772026062015,0.0003395935826119967,0.0,123.40559558868408,0.0487065315246582,26.478103637695312
22,0.9457583333333344,0.008333333333333333,0.0020833333333333333,0.6916666666666667,0.50375,1.3845833333333333,0.7682275052663254,0.23177249473367437,2.3981342160698165,0.37625,64.58166666666666,0.18083333333333335,164.0,0.0039935082662850615,573.877547454834,7.154031312465667,-0.0001125052571296692,0.0,128.2958541870117,0.042175352573394775,27.652047634124756
