case,snr,buf,q
1,15dB,0.17520000000000002,1.5925623073882824
1,20dB,0.002,1.315765649156906
1,25dB,0.0016,1.4421282627315235
1,30dB,0.0008,1.385887360574088
2,15dB,0.1428,1.9475048218922564
2,20dB,0.0208,1.6545199477693042
2,25dB,0.0004,1.727687462764931
2,30dB,0.0,1.7294069490042951
3,15dB,0.1292,1.8644668405804725
3,20dB,0.0576,2.170996930913321
3,25dB,0.01,2.182043707094153
3,30dB,0.004,2.2333640067475384
