episode,avg_qoe,stall_ratio,served_ratio,util_per_chunk,switch_rate,pol_loss,val_loss,entropy,sec
70,0.6071,0.0004,0.7000,0.9603,0.3463,0.0039,23.9969,4.7743,54
71,0.6293,0.0013,0.7292,0.9616,0.3604,0.0112,19.7700,4.7332,55
72,0.6197,0.0000,0.7083,0.9634,0.3358,0.0039,21.7141,4.7285,56
73,0.5890,0.0000,0.6833,0.9596,0.3525,-0.0041,23.9939,4.6207,57
74,0.6286,0.0000,0.7250,0.9601,0.3625,-0.0044,19.3897,4.8682,57
75,0.6200,0.0000,0.7167,0.9628,0.3583,-0.0001,19.2716,4.6742,58
76,0.5965,0.0000,0.6917,0.9605,0.3479,-0.0002,24.6254,4.7606,59
77,0.6087,0.0013,0.7125,0.9573,0.3654,-0.0005,18.8758,5.0176,60
78,0.6126,0.0000,0.7208,0.9536,0.3900,-0.0070,19.0730,4.9475,60
79,0.5692,0.0000,0.6667,0.9582,0.3417,-0.0071,26.6422,4.9138,61
80,0.6091,0.0000,0.7083,0.9592,0.3629,-0.0118,18.3505,4.9219,62
81,0.6071,0.0013,0.7125,0.9547,0.3775,-0.0063,20.0475,4.8832,63
82,0.6168,0.0000,0.7208,0.9552,0.3821,-0.0026,19.2772,4.8413,64
83,0.6162,0.0000,0.7125,0.9593,0.3575,-0.0019,21.6780,4.7137,64
84,0.6316,0.0000,0.7292,0.9566,0.3621,-0.0071,18.2789,5.0380,65
85,0.6276,0.0004,0.7208,0.9616,0.3538,-0.0048,18.5017,4.6759,66
86,0.6454,0.0000,0.7417,0.9598,0.3725,0.0003,19.4975,4.8037,67
87,0.5913,0.0000,0.6750,0.9643,0.3237,-0.0079,25.3544,4.5440,67
88,0.6457,0.0000,0.7417,0.9609,0.3667,0.0023,18.8490,4.8792,68
89,0.6186,0.0000,0.7125,0.9589,0.3608,0.0108,21.8721,4.4135,69
90,0.6491,0.0000,0.7458,0.9584,0.3708,0.0017,19.3134,4.8391,70
91,0.5860,0.0004,0.6750,0.9579,0.3325,0.0028,28.9167,4.6511,70
92,0.6018,0.0000,0.6917,0.9592,0.3471,-0.0060,21.4011,4.3715,71
93,0.5992,0.0000,0.6833,0.9638,0.3308,-0.0046,22.2989,4.3924,72
94,0.6028,0.0000,0.6875,0.9633,0.3321,-0.0030,24.2624,4.6026,73
95,0.6510,0.0000,0.7333,0.9695,0.3267,0.0026,21.7007,4.6905,73
96,0.6220,0.0000,0.7000,0.9673,0.3092,0.0020,26.4311,4.3390,74
97,0.6238,0.0000,0.7000,0.9690,0.3054,-0.0104,24.5450,4.5013,75
98,0.6215,0.0000,0.6917,0.9726,0.2742,-0.0060,23.1593,4.2149,76
99,0.5870,0.0000,0.6500,0.9755,0.2550,0.0066,36.4959,4.2368,76
100,0.6492,0.0000,0.7125,0.9779,0.2521,-0.0033,22.3979,4.2521,77
101,0.6368,0.0004,0.7000,0.9776,0.2583,-0.0058,23.3824,4.1510,78
102,0.6760,0.0000,0.7375,0.9791,0.2467,-0.0052,21.3137,4.5393,79
103,0.6551,0.0004,0.7208,0.9780,0.2608,-0.0006,22.3365,4.1774,80
104,0.6064,0.0000,0.6583,0.9814,0.2004,-0.0017,29.3470,3.9810,80
105,0.6623,0.0000,0.7208,0.9801,0.2354,0.0040,23.6049,4.1777,81
106,0.6797,0.0000,0.7417,0.9792,0.2437,0.0017,20.6641,4.2937,82
107,0.6773,0.0000,0.7458,0.9765,0.2725,0.0013,20.7010,4.4736,83
108,0.6289,0.0021,0.7042,0.9738,0.2762,-0.0044,23.4502,4.2369,83
109,0.6438,0.0000,0.7083,0.9774,0.2608,-0.0079,20.0836,4.0914,84
110,0.6433,0.0000,0.7042,0.9796,0.2379,-0.0001,23.9791,4.0482,85
111,0.6563,0.0000,0.7125,0.9814,0.2204,0.0016,25.0457,3.9917,86
112,0.7029,0.0000,0.7500,0.9851,0.1858,0.0009,23.4663,3.9271,86
113,0.6721,0.0000,0.7125,0.9870,0.1529,-0.0102,32.1127,3.6308,87
114,0.6789,0.0008,0.7250,0.9855,0.1700,-0.0045,24.8584,3.6687,88
115,0.6938,0.0000,0.7333,0.9875,0.1575,-0.0000,21.4864,3.6687,89
116,0.6671,0.0000,0.7083,0.9864,0.1608,-0.0013,24.6609,3.7139,89
117,0.6164,0.0000,0.6458,0.9898,0.1208,-0.0004,38.1126,3.4149,90
118,0.6760,0.0000,0.7083,0.9901,0.1221,0.0017,23.6014,3.6127,91
119,0.6691,0.0000,0.7042,0.9887,0.1404,0.0036,31.5079,3.4647,92
120,0.6847,0.0000,0.7250,0.9879,0.1562,-0.0024,22.5794,3.6969,93
121,0.6677,0.0000,0.7000,0.9895,0.1288,-0.0045,25.9601,3.5774,93
122,0.6782,0.0000,0.7167,0.9881,0.1550,-0.0093,27.8465,3.8607,94
123,0.6339,0.0000,0.6625,0.9905,0.1175,0.0035,36.9891,3.4247,95
124,0.6217,0.0000,0.6542,0.9885,0.1333,-0.0000,35.6806,3.3392,96
125,0.6859,0.0000,0.7167,0.9904,0.1221,-0.0054,23.1783,3.3781,96
126,0.6795,0.0000,0.7083,0.9912,0.1183,-0.0029,24.7338,3.4312,97
127,0.6889,0.0000,0.7125,0.9924,0.0950,-0.0039,29.0890,3.4126,98
128,0.6603,0.0000,0.6833,0.9926,0.0921,-0.0076,30.9434,3.2272,99
129,0.6954,0.0000,0.7167,0.9938,0.0796,0.0033,24.6471,3.3558,99
130,0.6745,0.0000,0.6958,0.9939,0.0762,-0.0075,29.4993,3.3839,100
131,0.7047,0.0000,0.7375,0.9908,0.1042,-0.0078,12.9866,3.6005,101
132,0.6676,0.0000,0.7000,0.9902,0.1071,0.0356,14.8171,3.5092,102
133,0.6719,0.0000,0.7000,0.9916,0.0942,-0.0105,11.0095,3.4559,102
134,0.6692,0.0000,0.7042,0.9894,0.1133,0.0223,19.9503,3.4668,103
135,0.6905,0.0000,0.7292,0.9882,0.1100,-0.0016,8.2958,3.7737,104
136,0.6354,0.0004,0.6583,0.9926,0.0808,0.0143,22.0993,3.2400,105
137,0.6603,0.0004,0.7125,0.9844,0.1375,0.0139,8.9490,3.8661,105
138,0.6704,0.0000,0.7167,0.9861,0.1283,0.0064,9.9038,3.5972,106
139,0.6803,0.0000,0.7375,0.9832,0.1521,-0.0074,4.9369,3.8559,107
140,0.6793,0.0000,0.7250,0.9865,0.1321,0.0040,11.3552,3.4146,108
141,0.6434,0.0004,0.6708,0.9919,0.0912,0.0059,20.0366,3.3160,108
142,0.6716,0.0000,0.7125,0.9879,0.1158,0.0251,12.7956,3.4877,109
143,0.6686,0.0000,0.7083,0.9884,0.1121,0.0016,7.5842,3.5773,110
144,0.6411,0.0000,0.6667,0.9916,0.0879,0.0074,17.5624,3.3429,111
145,0.6638,0.0000,0.6958,0.9906,0.1071,-0.0029,11.8306,3.5270,112
146,0.6865,0.0000,0.7333,0.9853,0.1221,0.0401,10.0942,3.6295,112
147,0.6496,0.0013,0.6917,0.9873,0.1163,0.0118,15.6668,3.3706,113
148,0.6685,0.0000,0.7083,0.9876,0.1200,0.0061,10.8161,3.3993,114
149,0.6837,0.0000,0.7375,0.9852,0.1367,0.0167,8.7255,3.7308,115
150,0.6737,0.0000,0.7292,0.9844,0.1250,0.0094,9.4557,3.7540,115
151,0.6716,0.0000,0.7208,0.9865,0.1025,0.0178,7.2461,3.5098,116
152,0.6692,0.0000,0.7250,0.9837,0.1304,0.0023,5.8927,3.6224,117
153,0.6716,0.0000,0.7333,0.9820,0.1433,-0.0189,5.9124,3.7005,118
154,0.6704,0.0000,0.7125,0.9874,0.1221,0.0113,11.9664,3.5758,119
155,0.6260,0.0000,0.6542,0.9907,0.0908,0.0051,28.1967,3.3279,119
156,0.6456,0.0033,0.6792,0.9917,0.0858,-0.0012,12.4647,3.2359,120
157,0.6677,0.0000,0.7083,0.9878,0.1142,0.0009,11.6127,3.5388,121
158,0.6291,0.0000,0.6542,0.9914,0.0833,0.0123,21.1105,3.3222,122
159,0.6556,0.0004,0.6875,0.9902,0.0958,-0.0105,20.4686,3.2342,122
160,0.6611,0.0000,0.7000,0.9888,0.1125,0.0018,9.2328,3.4966,123
161,0.6724,0.0000,0.7083,0.9894,0.1092,0.0038,7.3383,3.4937,124
162,0.6806,0.0000,0.7375,0.9840,0.1196,0.0100,6.0718,3.8204,125
163,0.6746,0.0000,0.7292,0.9858,0.1100,-0.0049,7.3859,3.7862,126
164,0.6576,0.0000,0.7042,0.9870,0.1062,0.0017,18.9689,3.3497,126
165,0.6734,0.0000,0.7250,0.9861,0.1212,-0.0092,6.0156,3.4965,127
166,0.6737,0.0000,0.7250,0.9854,0.1175,0.0014,4.5467,3.5625,128
167,0.6394,0.0000,0.6625,0.9923,0.0850,0.0119,15.5972,3.4336,129
168,0.6507,0.0000,0.7167,0.9793,0.1275,0.0121,6.3555,3.7672,130
169,0.6154,0.0000,0.6625,0.9864,0.0842,0.0050,21.1620,3.3162,130
170,0.6356,0.0000,0.7208,0.9766,0.1404,-0.0021,3.5782,4.2331,131
171,0.6290,0.0000,0.7083,0.9780,0.1363,0.0177,5.6294,3.9538,132
172,0.6409,0.0000,0.7375,0.9739,0.1504,0.0151,4.5725,4.0090,133
173,0.6224,0.0000,0.6667,0.9871,0.0929,-0.0003,20.0161,3.3518,133
174,0.6156,0.0025,0.6667,0.9859,0.1083,0.0026,21.5932,3.6933,134
175,0.6534,0.0000,0.7208,0.9802,0.1396,0.0017,5.3657,3.8262,135
176,0.6221,0.0000,0.6583,0.9889,0.0900,-0.0007,27.6137,3.4608,136
177,0.6586,0.0000,0.7042,0.9864,0.1096,0.0017,14.4992,3.5601,136
178,0.6440,0.0000,0.6750,0.9907,0.0925,0.0029,12.5419,3.4976,137
179,0.6666,0.0000,0.7333,0.9822,0.1263,-0.0014,4.7713,3.8298,138
180,0.6387,0.0000,0.6750,0.9882,0.1004,0.0207,8.5237,3.4329,139
181,0.6574,0.0000,0.7042,0.9860,0.0975,0.0030,20.0337,3.5407,140
182,0.6444,0.0000,0.6750,0.9909,0.0842,0.0008,16.6767,3.3814,140
183,0.6609,0.0000,0.7250,0.9837,0.1175,0.0076,7.4623,3.4597,141
184,0.6658,0.0000,0.7083,0.9885,0.0908,-0.0066,6.9367,3.4657,142
185,0.6566,0.0000,0.7125,0.9841,0.1087,-0.0021,5.2638,3.4499,143
186,0.6465,0.0000,0.6833,0.9889,0.0921,-0.0016,16.1383,3.2015,143
187,0.6470,0.0000,0.6792,0.9906,0.0775,-0.0022,16.9262,3.3378,144
188,0.6425,0.0000,0.6667,0.9927,0.0688,0.0004,16.5009,3.2386,145
189,0.6507,0.0000,0.7042,0.9851,0.1125,0.0040,4.9684,3.5365,146
190,0.6595,0.0000,0.7292,0.9814,0.1113,0.0089,5.8145,3.6950,146
191,0.6627,0.0000,0.7125,0.9853,0.1025,-0.0023,5.8006,3.5753,147
192,0.6648,0.0000,0.7125,0.9850,0.0954,-0.0027,4.9164,3.5209,148
193,0.6688,0.0000,0.7208,0.9858,0.0854,-0.0073,3.5572,3.7388,149
194,0.6695,0.0000,0.7250,0.9833,0.0975,-0.0077,8.0120,3.6133,150
195,0.6667,0.0000,0.7042,0.9887,0.0871,0.0144,10.6526,3.2294,150
196,0.6544,0.0000,0.6792,0.9923,0.0612,-0.0043,12.3505,3.2185,151
197,0.5763,0.0013,0.5917,0.9959,0.0317,0.0141,42.7569,2.9230,152
198,0.6160,0.0000,0.6375,0.9924,0.0625,0.0260,30.7326,2.9457,153
199,0.6556,0.0000,0.6750,0.9939,0.0671,0.0057,15.0209,3.0361,153
